Name,AddressLine1,AddressLine2,CityStateZipRaw,City,State,Zip,Phone,Email,Website,DateTimeScraped
THE HESS COLLECTION WINERY,4411 REDWOOD RD,,"NAPA CA, 94558",NAPA,CA,94558,(707) 253-1682,kate@hesscollection.com,www.hesscollection.com,4/5/2017 4:35:18 PM
"ARROWHEAD WINE CELLARS, INC.",12073 E MAIN RD,PO BOX 676,"NORTH EAST PA, 16428-0676",NORTH EAST,PA,16428,,WINE@VELOCITY.NET,,4/5/2017 4:35:18 PM
CAKEBREAD CELLARS,8300 ST HELENA HWY,,"RUTHERFORD CA, 94573",RUTHERFORD,CA,94573,(707) 963-5221,kenneth@cakebread.com,www.cakebread.com,4/5/2017 4:35:18 PM
PITTSBURGH WINERY LLC,2815 PENN AVE,,"PITTSBURGH PA, 15222-4713",PITTSBURGH,PA,15222,,JESSICA@FLAHERTY-OHARA.COM,www.flaherty-ohara.com,4/5/2017 4:35:18 PM
BLUE RIDGE WINERY LLC,239 BLUE RIDGE RD,,"SAYLORSBURG PA, 18353-8131",SAYLORSBURG,PA,18353,(570) 236-7816,RANDYDETRICK@YAHOO.COM,,4/5/2017 4:35:18 PM
JOHNSON ESTATE WINERY LLC,8419 W MAIN RD,P O BOX 52,"WESTFIELD NY, 14787-0052",WESTFIELD,NY,14787,(716) 326-2191,,,4/5/2017 4:35:18 PM
HAPPY VALLEY VINEYARD & WINERY LLC,576 S FOXPOINTE DR,,"STATE COLLEGE PA, 16801-3300",STATE COLLEGE,PA,16801,(814) 360-1770,HVWINERY@GMAIL.COM,,4/5/2017 4:35:18 PM
REUSTLE PRAYER ROCK VINEYARDS,960 CAL HENRY RD,,"ROSEBURG OR, 97471",ROSEBURG,OR,97471,(541) 459-6060,kmcginnis@reustlevineyards.com,www.reustlevineyards.com,4/5/2017 4:35:18 PM
TABLAS CREEK VINEYARD,9339 ADELAIDA RD,,"PASO ROBLES CA, 93446",PASO ROBLES,CA,93446,(805) 237-1231,drc@tablascreek.com,www.tablascreek.com,4/5/2017 4:35:18 PM
ROBERT CRAIG WINERY,2475 SUMMIT LAKE DR,,"ANGWIN CA, 94508",ANGWIN,CA,94508,(707) 252-2250,kiersten@robertcraigwine.com,www.robertcraigwine.com,4/5/2017 4:35:18 PM
SEVEN MOUNTAINS WINE CELLARS LLC,107 MOUNTAIN SPRING LN,,"SPRING MILLS PA, 16875-9041",SPRING MILLS,PA,16875,(814) 364-2983,MARYANN@SEVENMOUNTAINSWINECELLARS.COM,www.sevenmountainswinecellars.com,4/5/2017 4:35:18 PM
LA GRANJA WINERY INC,10920 CHIMNEY ROCK RD,,"PASO ROBLES CA, 93446",PASO ROBLES,CA,93446,(805) 400-3276,JIM@THEFARMWINERY.COM,www.thefarmwinery.com,4/5/2017 4:35:18 PM
CLINE CELLARS INC,24737 ARNOLD DR,,"SONOMA CA, 95476",SONOMA,CA,95476,(707) 284-2828,licensing@compliance-connect.com,,4/5/2017 4:35:18 PM
LONG SHADOWS VINTNERS,1604 FRENCHTOWN RD,,"WALLA WALLA WA, 99362",WALLA WALLA,WA,99362,(206) 366-0335,shelained@longshadows.com,www.longshadows.com,4/5/2017 4:35:18 PM
"BENIGNA'S CREEK VINEYARD & WINERY,",1585 RIDGE RD,,"KLINGERSTOWN PA, 17941-9637",KLINGERSTOWN,PA,17941,(570) 425-3090,LAZYM@RURALIFE.NET,,4/5/2017 4:35:18 PM
"1-800 WINESHOP.COM, INC",525 AIRPARK RD,,"NAPA CA, 94558",NAPA,CA,94558,(707) 253-0200,shodges@wineshopathome.com,www.wineshopathome.com,4/5/2017 4:35:18 PM
PENN-SHORE VINEYARDS INC.,10225 E LAKE RD,,"NORTH EAST PA, 16428-2839",NORTH EAST,PA,16428,,JEFFREYORE@AOL.COM,,4/5/2017 4:35:18 PM
NAKEDWINES.COM INC,8450 SONOMA HWY,,"KENWOOD CA, 95452-2052",KENWOOD,CA,95452,(707) 786-6287,,,4/5/2017 4:35:19 PM
"WILHELM WINERY, INC.",590 GEORGETOWN RD,,"HADLEY PA, 16130-1010",HADLEY,PA,16130,(724) 253-3700,WILHELM3700@ALLTEL.NET,,4/5/2017 4:35:19 PM
GRACE WINERY LLC,50 SWEETWATER RD,,"GLEN MILLS PA, 19342-1709",GLEN MILLS,PA,19342,(610) 459-4711,DCLV@COMCAST.NET,,4/5/2017 4:35:19 PM
RDV VINEYARDS LLC,2550 DELAPLANE GRADE RD,,"DELAPLANE VA, 20144",DELAPLANE,VA,20144,(800) 790-6838,bannon@williamscompliance.com,,4/5/2017 4:35:19 PM
FERRARI-CARANO VINEYARDS AND WINERY,PO Box 1549,,"HEALDSBURG CA, 95448",HEALDSBURG,CA,95448,(707) 433-6700,jodee@fcwinery.com,www.fcwinery.com,4/5/2017 4:35:19 PM
"PICKERING WINERY, INC.",27697 RTE 187,,"WYSOX PA, 18854-9601",WYSOX,PA,18854,(570) 247-7269,PICKWINE1@EPIX.NET,,4/5/2017 4:35:19 PM
"CROSSING VINEYARDS AND WINERY, INC.",1849 WRIGHTSTOWN RD,PO BOX 866,"WASHINGTON CROSSING PA, 18977-0866",WASHINGTON CROSSING,PA,18977,(215) 493-6500,INFO@CROSSINGVINEYARDS.COM,www.crossingvineyards.com,4/5/2017 4:35:19 PM
MENDOCINO WINE GROUP LLC,501 PARDUCCI RD,,"UKIAH CA, 95482-3015",UKIAH,CA,95482,(707) 463-5380,valeriem@mendocinowineco.com,www.mendocinowineco.com,4/5/2017 4:35:19 PM
ARKENSTONE VINEYARDS LLC,335 WEST LANE,,"ANGWIN CA, 94508-9606",ANGWIN,CA,94508,(707) 965-1020,susan@arkenstone.com,www.arkenstone.com,4/5/2017 4:35:19 PM
WILSON CREEK WINERY & VINEYARDS INC,35960 RANCHO CALIFORNIA RD,,"TEMECULA CA, 92591",TEMECULA,CA,92591,(951) 699-9463,compliance@wilsoncreekwinery.com,www.wilsoncreekwinery.com,4/5/2017 4:35:19 PM
CALDWELL VINEYARD LLC,270 KREUZER LN,,"NAPA CA, 94559-3623",NAPA,CA,94559,(707) 265-0233,BETH@THEWACCO.COM,www.thewacco.com,4/5/2017 4:35:19 PM
CASSEL VINEYARDS OF HERSHEY LLC,80 SHETLAND DR,,"HUMMELSTOWN PA, 17036-9238",HUMMELSTOWN,PA,17036,,CASSELVINEYARDS@GMAIL.COM,,4/5/2017 4:35:19 PM
QUILCEDA CREEK VINTNERS INC,11306 52ND ST SE,,"SOHOMISH WA, 98290",SOHOMISH,WA,98290,(360) 568-2389,john@quilcedacreek.com,www.quilcedacreek.com,4/5/2017 4:35:19 PM
KONSTANTIN D FRANK & SONS VINIFERA,9749 MIDDLE RD,,"HAMMONDSPORT NY, 14840",HAMMONDSPORT,NY,14840,(607) 868-4884,ksmolos@drfrankwines.com,www.drfrankwines.com,4/5/2017 4:35:19 PM
CASTORO CELLARS,6465 VON DOLLEN RD,,"SAN MIGUEL CA, 93451-9567",SAN MIGUEL,CA,93451,,castoro@compli-beverage.com,,4/5/2017 4:35:19 PM
MOUNTAIN VIEW VINEYARD INC,2365 WALTERS ROAD,,"STROUDSBURG PA, 18360-7983",STROUDSBURG,PA,18360,(570) 619-0053,RANDY@MOUNTAINVIEWVINEYARD.COM,www.mountainviewvineyard.com,4/5/2017 4:35:19 PM
HERB LAMB VINEYARDS LLC,4326 BIG RANCH RD,,"NAPA CA, 94558-1347",NAPA,CA,94558,(707) 967-9752,terry@herblambvineyards.com,www.herblambvineyards.com,4/5/2017 4:35:19 PM
BRYTER ESTATES LLC,5055 SOLANO AVE,,"NAPA CA, 94558-1326",NAPA,CA,94558,(707) 265-0233,BETH@THEWACCO.COM,www.thewacco.com,4/5/2017 4:35:19 PM
WALTZ VINEYARDS ESTATE WINERY LLC,1599 OLD LINE RD,,"MANHEIM PA, 17545-8222",MANHEIM,PA,17545,(717) 664-9463,anne@waltzvineyards.com,www.waltzvineyards.com,4/5/2017 4:35:19 PM
SIX SIGMA WINERY LLC,13372 SPRUCE GROVE RD,,"LOWER LAKE CA, 95457-9862",LOWER LAKE,CA,95457,(707) 994-4068,MARY@SIXSIGMARANCH.COM,www.sixsigmaranch.com,4/5/2017 4:35:19 PM
HAHN ESTATE,37700 FOOTHILL RD,,"SOLEDAD CA, 93960-9620",SOLEDAD,CA,93960,(707) 284-2828,licensing@compliance-connect.com,,4/5/2017 4:35:19 PM
ANTLER RIDGE WINERY INC,37 ANTLER RIDGE LN,,"ULSTER PA, 18850-9749",ULSTER,PA,18850,(610) 730-0501,ANTLERRIDGE@EPIX.NET,,4/5/2017 4:35:19 PM
SWEDISH HILL VINEYARD INC,4565 RTE 414,,"ROMULUS NY, 14541",ROMULUS,NY,14541,(607) 403-0029,Jean.Peterson@swedishhill.com,www.swedishhill.com,4/5/2017 4:35:19 PM
TOLINO VINEYARDS LLC,280 MT PLEASANT RD,,"BANGOR PA, 18013-9244",BANGOR,PA,18013,,CARL@TOLINOVINEYARDS.COM,www.tolinovineyards.com,4/5/2017 4:35:19 PM
RAFFALDINI VINEYARDS & WINERY LLC,450 GROCE RD,,"RONDA NC, 28670-9134",RONDA,NC,28670,(312) 315-0550,barbara@raffaldini.com,www.raffaldini.com,4/5/2017 4:35:19 PM
J LOHR WINERY CORPORATION,1000 LENZEN AVE,,"SAN JOSE CA, 95126",SAN JOSE,CA,95126,(805) 239-5400,jhamm@jlohr.com,www.jlohr.com,4/5/2017 4:35:19 PM
LAMBORN FAMILY WINE COMPANY,120 VILLAGE SQUARE #13,,"ORINDA CA, 94563-2505",ORINDA,CA,94563,(925) 382-2282,brian@lamborn.com,www.lamborn.com,4/5/2017 4:35:19 PM
MONTICELLO CELLARS,4242 BIG RANCH RD,,"NAPA CA, 94558-1301",NAPA,CA,94558,,STEPHEN@CORLEYFAMILYNAPAVALLEY,www.corleyfamilynapavalley,4/5/2017 4:35:19 PM
ARMIDA WINERY INC,2201 WESTSIDE RD,,"HEALDSBURG CA, 95448",HEALDSBURG,CA,95448,(707) 528-8500,armida@dhwinecompliance.com,,4/5/2017 4:35:19 PM
BLACKBIRD VINEYARDS LLC,7830-40 ST HELENA HWY,STE 2,"OAKVILLE CA, 94562",OAKVILLE,CA,94562,(707) 528-8500,blackbird@dhwinecompliance.com,,4/5/2017 4:35:19 PM
ADELAIDA CELLARS INC,5805 ADELAIDA RD,,"PASO ROBLES CA, 93446",PASO ROBLES,CA,93446,,adelaida@compli-beverage.com,,4/5/2017 4:35:19 PM
PEACHY CANYON WINERY,2025 NACIMIENTO LAKE DR,,"PASO ROBLES CA, 93446-8753",PASO ROBLES,CA,93446,(805) 237-1577,,,4/5/2017 4:35:19 PM
LORING WINE COMPANY LLC,1034 W AVIATION DR,,"LOMPOC CA, 93436",LOMPOC,CA,93436,(805) 736-0053,brian@loringwinecompany.com,www.loringwinecompany.com,4/5/2017 4:35:19 PM
CHATEAU DIANA LLC,6195 DRY CREEK RD,,"HEALDSBURG CA, 95448",HEALDSBURG,CA,95448,(707) 528-8500,chateaudiana@dhwinecompliance.com,,4/5/2017 4:35:19 PM
RED CAR WINE COMPANY LLC,8400 GRATON RD,,"SEBASTOPOL CA, 95472-2401",SEBASTOPOL,CA,95472,(707) 528-8500,redcar@dhwinecompliance.com,,4/5/2017 4:35:19 PM
MAROON WINERY LLC,1075 GOLDEN GATE DR,,"NAPA CA, 94558",NAPA,CA,94558,(707) 252-4725,jw1@winecompliance.com,,4/5/2017 4:35:19 PM
HUNT COUNTRY VINEYARDS LLC,4021 ITALY HILL RD,,"BRANCHPORT NY, 14418-9615",BRANCHPORT,NY,14418,(315) 595-2812,INFO@HUNTWINES.COM,www.huntwines.com,4/5/2017 4:35:19 PM
NAPA WINE COMPANY LLC,7830-40 ST HELENA HWY,,"OAKVILLE CA, 94562",OAKVILLE,CA,94562,(508) 648-2505,coastalcompliance@comcast.net,,4/5/2017 4:35:19 PM
SHAFER VINEYARDS,6154  SILVERADO TRAIL,,"NAPA CA, 94558",NAPA,CA,94558,(707) 944-2877,mschatz@shafervineyards.com,www.shafervineyards.com,4/5/2017 4:35:19 PM
KENEFICK RANCHES WINERY LLC,4550 SILVERADO TRAIL,,"CALISTOGA CA, 94515",CALISTOGA,CA,94515,(866) 661-4190,brenda@wineindustrycompliance.com,,4/5/2017 4:35:19 PM
LAYTONS CHANCE VINEYARD & WINERY LLC,4225 NEW BRIDGE RD,,"VIENNA MD, 21869",VIENNA,MD,21869,(410) 228-1205,jlayton@laytonschance.com,www.laytonschance.com,4/5/2017 4:35:19 PM
GAMBLE FAMILY VINEYARDS LLC,7554 ST HELENA HWY,,"OAKVILLE CA, 94562",OAKVILLE,CA,94562,(707) 944-2999,kari@gamblefamilyvineyards.com,www.gamblefamilyvineyards.com,4/5/2017 4:35:19 PM
WHEELER WINERY INC,1791 OLIVET RD,,"SANTA ROSA CA, 95401",SANTA ROSA,CA,95401,(707) 963-6951,bonne.posert@boisset.com,www.boisset.com,4/5/2017 4:35:19 PM
RAYMOND VINEYARD & CELLAR INC,849 ZINFANDEL LN,,"ST HELENA CA, 94574-1645",ST HELENA,CA,94574,(707) 963-6951,bonne.posert@boisset.com,www.boisset.com,4/5/2017 4:35:19 PM
PORTER FAMILY VINEYARDS LLC,1189 GREEN VALLEY RD,,"NAPA CA, 94558-4061",NAPA,CA,94558,(707) 927-0765,,,4/5/2017 4:35:19 PM
STONY HILL VINEYARD,3331 N ST ST HELENA HWY,PO BOX 308,"ST HELENA CA, 94574-0308",ST HELENA,CA,94574,(707) 963-2636,INFO@STONYHILLVINEYARD.COM,www.stonyhillvineyard.com,4/5/2017 4:35:19 PM
DEL DOTTO VINEYARDS,1055 ATLAS PEAK RD,,"NAPA CA, 94558-1501",NAPA,CA,94558,(707) 252-4725,reg1@winecompliance.com,,4/5/2017 4:35:19 PM
J.K. CARRIERE LLC,9995 NE PARRETT MOUNTAIN RD,,"NEWBERG OR, 97132-7250",NEWBERG,OR,97132,(503) 554-0721,linda@jkcarriere.com,www.jkcarriere.com,4/5/2017 4:35:19 PM
PRINCE MICHEL LLC,154  WINERY LANE,,"LEON VA, 22725",LEON,VA,22725,(540) 547-3707,sturner@princemichel.com,www.princemichel.com,4/5/2017 4:35:19 PM
HERITANCE VINTNERS LLC,105 ZINFANDEL LN,,"SAINT HELENA CA, 94574-1631",SAINT HELENA,CA,94574,(516) 802-4730,ddessi@seaviewimports.com,www.seaviewimports.com,4/5/2017 4:35:19 PM
ARETE WINES LLC,1712 INDUSTRIAL WAY,,"LOMPOC CA, 93436-4947",LOMPOC,CA,93436,,arete@compli-beverage.com,,4/5/2017 4:35:19 PM
THOUSAND ISLANDS WINERY LLC,43298 SEAWAY AVE,STE 1,"ALEXANDRIA BAY NY, 13607",ALEXANDRIA BAY,NY,13607,,tastingroom@thousandislandswinery.com,www.thousandislandswinery.com,4/5/2017 4:35:19 PM
DOMAINE SERENE VINEYARDS & WINERY INC,6555 NE HILLTOP LN,,"DAYTON OR, 97114-7227",DAYTON,OR,97114,(503) 864-4600,ARTIE@DOMAINESERENE.COM,www.domaineserene.com,4/5/2017 4:35:19 PM
JARVIS,2970 MONTICELLO RD,,"NAPA CA, 94558",NAPA,CA,94558,(707) 255-5280,info@jarviswines.com,www.jarviswines.com,4/5/2017 4:35:19 PM
NAVARRO VINEYARDS LLC,5601 HWY 128,,"PHILO CA, 95466",PHILO,CA,95466,(707) 895-3516,Lynnes@mail.navarrowine.com,www.mail.navarrowine.com,4/5/2017 4:35:19 PM
SEAVEY VINEYARD LP,1310 CONN VALLEY RD,,"ST HELENA CA, 94574-9610",ST HELENA,CA,94574,(707) 963-9339,accounting@seaveyvineyard.com,www.seaveyvineyard.com,4/5/2017 4:35:19 PM
OWEN ROE LLC,2761 E 9TH ST,,"NEWBERG OR, 97132",NEWBERG,OR,97132,(503) 516-5611,alisa@owenroe.com,www.owenroe.com,4/5/2017 4:35:19 PM
HALTER WINERY LLC,8910 ADELAIDA RD,,"PASO ROBLES CA, 93446-8798",PASO ROBLES,CA,93446,(805) 226-9455,katie@halterranch.com,www.halterranch.com,4/5/2017 4:35:19 PM
RED NEWT CELLARS INC,3675 TICHENOR RD,,"HECTOR NY, 14841-9675",HECTOR,NY,14841,(607) 546-4100,TERRI@REDNEWT.COM,www.rednewt.com,4/5/2017 4:35:19 PM
LAW ESTATE WINES,3885 PEACHY CANYON RD,,"PASO ROBLES CA, 93446",PASO ROBLES,CA,93446,(805) 226-9200,accounting@lawestatewines.com,www.lawestatewines.com,4/5/2017 4:35:19 PM
"BURGESS CELLARS, INC.",1108 DEER PARK RD,,"SAINT HELENA CA, 94574-9728",SAINT HELENA,CA,94574,(707) 254-1133,WINES@BURGESSCELLARS.COM,www.burgesscellars.com,4/5/2017 4:35:20 PM
VIGNETTE WINERY LLC,45 ENTERPRISE CT,,"NAPA CA, 94558",NAPA,CA,94558,(707) 637-8821,,,4/5/2017 4:35:20 PM
FLORA SPRINGS WINE COMPANY,1978 W ZINFANDEL LN,,"SAINT HELENA CA, 94574-1611",SAINT HELENA,CA,94574,(800) 788-0212,GRAPEVINECOMPLIANCE@Q.COM,www.q.com,4/5/2017 4:35:20 PM
MAURITSON FAMILY WINERY,2859 DRY CREEK RD,,"HEALDSBURG CA, 95448-8230",HEALDSBURG,CA,95448,(707) 431-0804,info@mauritsonwines.com,www.mauritsonwines.com,4/5/2017 4:35:20 PM
SCHRAMSBERG VINEYARDS CO,1400 SCHRAMSBERG RD,,"CALISTOGA CA, 94515",CALISTOGA,CA,94515,(707) 942-2436,sthurman@schramsberg.com,www.schramsberg.com,4/5/2017 4:35:20 PM
LEMELSON WINERY LLC,12020 NE STAG HOLLOW RD,,"CARLTON OR, 97111",CARLTON,OR,97111,(503) 852-6619,kate@lemelsonvineyards.com,www.lemelsonvineyards.com,4/5/2017 4:35:20 PM
DENNER WINERY INC,5414 VINEYARD DR,,"PASO ROBLES CA, 93446-9684",PASO ROBLES,CA,93446,(805) 239-4287,ashleigh@dennervineyards.com,www.dennervineyards.com,4/5/2017 4:35:20 PM
FULCRUM WINES LLC,110 CAMINO ORUGA,,"NAPA CA, 94558",NAPA,CA,94558,(732) 610-9602,david@fulcrumwines.com,www.fulcrumwines.com,4/5/2017 4:35:20 PM
SONOMA-CUTRER VINEYARDS,4401  SLUSSER RD,,"WINDSOR CA, 95492",WINDSOR,CA,95492,(502) 774-7324,Denise_Dillard@b-f.com,www.b-f.com,4/5/2017 4:35:20 PM
DAWN'S DREAM LLC,18181 CACHAGUA RD,,"CARMEL VALLEY CA, 93924-9313",CARMEL VALLEY,CA,93924,(505) 977-1010,grapevinecompliance@q.com,www.q.com,4/5/2017 4:35:20 PM
DRY CREEK VINEYARD INC,3770 LAMBERT BRIDGE RD,,"HEALDSBURG CA, 95448",HEALDSBURG,CA,95448,(505) 977-1010,grapevinecompliance@q.com,www.q.com,4/5/2017 4:35:20 PM
DUTTON GOLDFIELD WINERY LLC,3100 GRAVENSTEIN  HWY,,"SEBASTOPOL CA, 95472",SEBASTOPOL,CA,95472,(505) 977-1010,grapevinecompliance@q.com,www.q.com,4/5/2017 4:35:20 PM
PANTHER CREEK CELLARS LLC,240 SE 5TH AV,,"DUNDEE OR, 97115",DUNDEE,OR,97115,(505) 977-1010,grapevinecompliance@q.com,www.q.com,4/5/2017 4:35:20 PM
ROY ESTATE LLC,1220 SODA CANYON RD,,"NAPA CA, 94558",NAPA,CA,94558,(505) 977-1010,grapevinecompliance@q.com,www.q.com,4/5/2017 4:35:20 PM
WINE BY JOE LLC,240 SE 5TH ST,,"DUNDEE OR, 97115-5003",DUNDEE,OR,97115,(505) 977-1010,grapevinecompliance@q.com,www.q.com,4/5/2017 4:35:20 PM
GALANTE FAMILY WINERY INC,18181 CACHAGUA RD,,"CARMEL VALLEY CA, 93924-9313",CARMEL VALLEY,CA,93924,(505) 977-1010,grapevinecompliance@q.com,www.q.com,4/5/2017 4:35:20 PM
CK CELLARS LLC,2770 RTE 14,,"PENN YAN NY, 19031",PENN YAN,NY,19031,(315) 422-1152,zrb@ccf-law.com,www.ccf-law.com,4/5/2017 4:35:20 PM
ROUND POND ESTATE LLC,875 RUTHERFORD RD,,"RUTHERFORD CA, 94573",RUTHERFORD,CA,94573,(866) 661-4190,melissa@wineindustrycompliance.com,,4/5/2017 4:35:20 PM
LARKMEAD VINEYARDS,1100 LARKMEAD LANE,,"CALISTOGA CA, 94515",CALISTOGA,CA,94515,(866) 661-4190,melissa@wineindustrycompliance.com,,4/5/2017 4:35:20 PM
DISTEL CELLARS LLC,32230 NE OLD PARRETT MOUNTAIN RD,,"NEWBERG OR, 97132-6934",NEWBERG,OR,97132,(612) 799-8969,thomas.d.mortimer@gmail.com,,4/5/2017 4:35:20 PM
ARIETTA INC,3468 SILVERADO TRAIL N,,"SAINT HELENA CA, 94574-9662",SAINT HELENA,CA,94574,(510) 964-7901,dleon@cqaconsult.net,,4/5/2017 4:35:20 PM
MOLLYDOOKER INTERNATIONAL LLC,1285 DEALY  LANE,,"NAPA CA, 94559",NAPA,CA,94559,(505) 977-1010,GRAPEVINECOMPLIANCE@Q.COM,www.q.com,4/5/2017 4:35:20 PM
AC VIN CO LLC,1119 STATE LN,,"YOUNTVILLE CA, 94599-9407",YOUNTVILLE,CA,94599,(505) 977-1010,grapevinecompliance@q.com,www.q.com,4/5/2017 4:35:20 PM
VILLA ENCINAL PARTNERS LP,620 OAKVILLE CROSS RD,,"OAKVILLE CA, 94562",OAKVILLE,CA,94562,(707) 578-7807,paula@complianceservice.com,,4/5/2017 4:35:20 PM
STONE EDGE WINERY LLC,21692 8TH ST E SUITES 100 & 110,,"SONOMA CA, 95476-2802",SONOMA,CA,95476,(707) 528-8500,stoneedge@dhwinecompliance.com,,4/5/2017 4:35:20 PM
B WISE VINEYARDS LLC,396 LONDON WAY,,"SONOMA CA, 95476",SONOMA,CA,95476,(707) 578-7807,paula@complianceservice.com,,4/5/2017 4:35:20 PM
BREAUX VINEYARDS LTD,36888 BREAUX VINEYARDS LANE,,"PURCELLVILLE VA, 20132",PURCELLVILLE,VA,20132,(540) 668-6299,breauxvineyardswccg@gmail.com,,4/5/2017 4:35:20 PM
PETER MICHAEL WINERY,12400 IDA CLAYTON RD,,"CALISTOGA CA, 94515-9507",CALISTOGA,CA,94515,(707) 284-2828,licensing@compliance-connect.com,,4/5/2017 4:35:20 PM
"DIVOT ENTERPRISES, LLC",3200 SOSCOL AVE APT 103,,"NAPA CA, 94558-9739",NAPA,CA,94558,(707) 603-1462,GRAPEVINECOMPLIANCE@Q.COM,www.q.com,4/5/2017 4:35:20 PM
TREFETHEN VINEYARDS WINERY INC,1160 OAK KNOLL AV,,"NAPA CA, 94558",NAPA,CA,94558,(707) 251-2421,dcw@trefethen.com,www.trefethen.com,4/5/2017 4:35:20 PM
HAGAFEN CELLARS INC,4160 SILVERADO TRAIL,,"NAPA CA, 94558",NAPA,CA,94558,,ernie@hagafen.com,www.hagafen.com,4/5/2017 4:35:20 PM
BOYD FAMILY VINEYARDS LLC,4326 BIG RANCH RD,,"NAPA CA, 94558-1347",NAPA,CA,94558,(707) 265-9485,joan@boydwine.com,www.boydwine.com,4/5/2017 4:35:20 PM
FOX MEADOW WINERY LLC,3310 FREEZELAND RD,,"LINDEN VA, 22642",LINDEN,VA,22642,(800) 790-6838,dan@foxmeadowwinery.com,www.foxmeadowwinery.com,4/5/2017 4:35:20 PM
HANDLEY CELLARS LIMITED PARTNERSHIP,3151 HIGHWAY 128,,"PHILO CA, 95466",PHILO,CA,95466,(707) 578-7807,paula@complianceservice.com,,4/5/2017 4:35:20 PM
OSHAUGHNESSY DEL OSO LLC,1150 FRIESEN DR,,"ANGWIN CA, 94508",ANGWIN,CA,94508,(707) 965-2898,,,4/5/2017 4:35:20 PM
"RIDGE VINEYARDS, INC.",17100 MONTEBELLO RD,,"CUPERTINO CA, 95014-5435",CUPERTINO,CA,95014,(408) 868-1334,richard@ridgewine.com,www.ridgewine.com,4/5/2017 4:35:20 PM
BELLA LUNA WINERY INC,1850  TEMPLETON RD,,"TEMPLETON CA, 93465",TEMPLETON,CA,93465,(805) 712-5225,shelly.zanoli@bellalunawine.com,www.bellalunawine.com,4/5/2017 4:35:20 PM
FROGS LEAP WINERY,8815 CONN CREEK RD,,"RUTHERFORD CA, 94573",RUTHERFORD,CA,94573,(707) 963-4704,kelly@frogsleap.com,www.frogsleap.com,4/5/2017 4:35:20 PM
FOXEN VINEYARD INC,7600 FOXEN CANYON RD,,"SANTA MARIA CA, 93454",SANTA MARIA,CA,93454,(805) 937-4251,katie@foxenvineyard.com,www.foxenvineyard.com,4/5/2017 4:35:20 PM
PRIDE MOUNTAIN VINEYARDS LLC,3000 SUMMIT TRAIL,,"SANTA ROSA CA, 95404",SANTA ROSA,CA,95404,(707) 964-6064,krantz@pridewines.com,www.pridewines.com,4/5/2017 4:35:20 PM
